project_id,title,description,creator_id,status,required_skills,research_areas
1,Research Project 1,A study on Neuroscience with implications in modern applications.,11,Active,"Mathematical Modeling, Behavioral Analysis, Cognitive Science","Bioinformatics, Machine Learning"
2,Research Project 2,A study on Sociology with implications in modern applications.,9,Inactive,"Python, PyTorch, Econometric Modeling","Environmental Science, Physics"
3,Research Project 3,A study on Deep Learning with implications in modern applications.,15,Active,"Cognitive Science, SQL, Public Speaking","Neuroscience, Sociology"
4,Research Project 4,A study on Biology with implications in modern applications.,30,Inactive,"Behavioral Analysis, PyTorch, Scientific Writing","Sociology, Astronomy"
5,Research Project 5,A study on Economics with implications in modern applications.,32,Active,"Healthcare Policy, Genomics, Survey Analysis","Cloud Computing, Law"
6,Research Project 6,A study on Mathematics with implications in modern applications.,21,Inactive,"Financial Forecasting, Mathematical Modeling, Statistics","NLP, Astronomy"
7,Research Project 7,A study on Neuroscience with implications in modern applications.,12,Inactive,"Survey Analysis, Qualitative Research, TensorFlow","NLP, Sociology"
8,Research Project 8,A study on Machine Learning with implications in modern applications.,28,Active,"Machine Learning, Financial Forecasting, Survey Analysis","Law, Machine Learning"
9,Research Project 9,A study on Physics with implications in modern applications.,22,Active,"SQL, Statistics, R","Psychology, AI"
10,Research Project 10,A study on Physics with implications in modern applications.,45,Inactive,"Survey Analysis, Behavioral Analysis, Mathematical Modeling","Cybersecurity, AI"
11,Research Project 11,A study on Mathematics with implications in modern applications.,44,Active,"SQL, Survey Analysis, Experimental Design","AI, Education"
12,Research Project 12,A study on Data Science with implications in modern applications.,4,Active,"Behavioral Analysis, Genomics, Machine Learning","Blockchain, Deep Learning"
13,Research Project 13,A study on Computer Vision with implications in modern applications.,39,Active,"Survey Analysis, Qualitative Research, Experimental Design","Machine Learning, Physics"
14,Research Project 14,A study on Machine Learning with implications in modern applications.,38,Inactive,"Python, Scientific Writing, Behavioral Analysis","Blockchain, Political Science"
15,Research Project 15,A study on Healthcare with implications in modern applications.,35,Active,"Data Analysis, Behavioral Analysis, SQL","Education, Physics"
16,Research Project 16,A study on Anthropology with implications in modern applications.,40,Active,"PyTorch, Data Analysis, Survey Analysis","Computer Vision, Machine Learning"
17,Research Project 17,A study on AI with implications in modern applications.,33,Active,"Econometric Modeling, Experimental Design, SQL","Law, Data Science"
18,Research Project 18,A study on Education with implications in modern applications.,21,Inactive,"Healthcare Policy, Machine Learning, SQL","Anthropology, Healthcare"
19,Research Project 19,A study on Economics with implications in modern applications.,32,Inactive,"Financial Forecasting, Survey Analysis, Statistics","Deep Learning, Law"
20,Research Project 20,A study on Sociology with implications in modern applications.,26,Active,"Cognitive Science, Qualitative Research, Survey Analysis","Physics, Psychology"
21,Research Project 21,A study on NLP with implications in modern applications.,29,Active,"Financial Forecasting, Python, Experimental Design","Astronomy, Neuroscience"
