title,description,mission,objectives,link,owner,categories,required_skills,languages,required_roles,is_active
Project0,Description for Project0. This project covers balanced topics.,Mission for Project0: Develop innovative solutions across multiple fields.,Objectives for Project0: Integrate balanced skills and technologies.,https://example.com/project0,user0,"AI,Business","Cloud Databases,BigQuery,Kotlin Multiplatform,Documentation","English,Spanish","ML Engineer,Backend Developer",True
Project1,Description for Project1. This project covers balanced topics.,Mission for Project1: Develop innovative solutions across multiple fields.,Objectives for Project1: Integrate balanced skills and technologies.,https://example.com/project1,user1,"Business,Research","BigQuery,Kotlin Multiplatform,Documentation,Security Testing","Spanish,German","Backend Developer,Frontend Developer",True
Project2,Description for Project2. This project covers balanced topics.,Mission for Project2: Develop innovative solutions across multiple fields.,Objectives for Project2: Integrate balanced skills and technologies.,https://example.com/project2,user2,"Research,Healthcare","Kotlin Multiplatform,Documentation,Security Testing,Accessibility","German,French","Frontend Developer,Project Manager",True
Project3,Description for Project3. This project covers balanced topics.,Mission for Project3: Develop innovative solutions across multiple fields.,Objectives for Project3: Integrate balanced skills and technologies.,https://example.com/project3,user3,"Healthcare,Education","Documentation,Security Testing,Accessibility,Reverse Engineering","French,Chinese","Project Manager,Data Scientist",True
Project4,Description for Project4. This project covers balanced topics.,Mission for Project4: Develop innovative solutions across multiple fields.,Objectives for Project4: Integrate balanced skills and technologies.,https://example.com/project4,user4,"Education,Arts & Media","Security Testing,Accessibility,Reverse Engineering,Apache","Chinese,Japanese","Data Scientist,Researcher",True
Project5,Description for Project5. This project covers balanced topics.,Mission for Project5: Develop innovative solutions across multiple fields.,Objectives for Project5: Integrate balanced skills and technologies.,https://example.com/project5,user5,"Arts & Media,Social Impact","Accessibility,Reverse Engineering,Apache,Elixir Phoenix","Japanese,English","Researcher,Designer",True
Project6,Description for Project6. This project covers balanced topics.,Mission for Project6: Develop innovative solutions across multiple fields.,Objectives for Project6: Integrate balanced skills and technologies.,https://example.com/project6,user6,"Social Impact,Machine Learning","Reverse Engineering,Apache,Elixir Phoenix,Ant Design","English,Spanish","Designer,ML Engineer",True
Project7,Description for Project7. This project covers balanced topics.,Mission for Project7: Develop innovative solutions across multiple fields.,Objectives for Project7: Integrate balanced skills and technologies.,https://example.com/project7,user7,"Machine Learning,Software","Apache,Elixir Phoenix,Ant Design,Cloud Databases","Spanish,German","ML Engineer,Backend Developer",True
Project8,Description for Project8. This project covers balanced topics.,Mission for Project8: Develop innovative solutions across multiple fields.,Objectives for Project8: Integrate balanced skills and technologies.,https://example.com/project8,user8,"Software,Environment","Elixir Phoenix,Ant Design,Cloud Databases,BigQuery","German,French","Backend Developer,Frontend Developer",True
Project9,Description for Project9. This project covers balanced topics.,Mission for Project9: Develop innovative solutions across multiple fields.,Objectives for Project9: Integrate balanced skills and technologies.,https://example.com/project9,user9,"Environment,AI","Ant Design,Cloud Databases,BigQuery,Kotlin Multiplatform","French,Chinese","Frontend Developer,Project Manager",True
